A_0	A_1	A_2	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	Class	Group	InstanceID
0	1	0	1	1	1	0	0	1	1	0	1	2	546
1	1	0	1	0	0	0	0	0	0	0	0	6	547
1	0	1	1	0	1	0	1	1	0	0	1	5	548
0	0	0	1	1	0	1	0	0	1	1	1	0	549
1	0	1	1	0	1	1	1	0	1	0	0	5	551
0	1	0	1	0	0	0	1	0	0	0	0	2	552
0	1	1	1	0	1	1	1	0	1	0	1	3	553
1	1	0	1	1	1	0	1	0	1	0	1	6	554
1	1	0	1	0	1	1	0	0	0	1	0	6	555
0	1	1	1	0	0	0	1	0	1	0	0	3	556
0	1	1	0	1	1	1	0	0	0	0	1	3	558
0	1	0	1	1	1	0	0	1	0	0	1	2	560
0	0	1	0	1	1	1	1	0	1	1	1	1	561
0	1	1	0	0	0	1	1	1	0	1	1	3	562
1	1	0	1	1	1	1	0	1	0	1	0	6	563
1	1	1	1	1	1	0	0	0	0	0	0	7	564
1	0	1	1	0	1	0	1	1	1	1	1	5	565
0	0	0	0	1	1	0	1	1	0	1	0	0	566
1	0	1	1	0	1	0	1	0	0	0	0	5	567
0	0	0	1	1	0	0	1	0	0	1	1	0	568
1	1	1	0	0	0	1	1	0	0	0	0	7	569
0	0	1	1	0	0	1	0	0	1	1	0	1	570
1	0	0	1	0	0	1	1	0	1	1	1	4	571
1	1	0	1	1	1	0	1	0	1	1	1	6	572
0	1	1	0	1	1	0	0	1	0	1	0	3	573
1	1	1	1	1	1	0	0	1	1	0	0	7	574
0	1	0	0	1	1	0	0	1	1	0	1	2	575
1	0	1	1	0	0	0	1	1	1	0	1	5	577
1	1	1	1	1	1	1	1	1	1	0	0	7	578
0	1	0	1	1	1	0	0	1	0	1	1	2	579
1	1	1	1	0	1	1	1	1	1	1	1	7	580
1	1	0	0	1	0	0	0	0	0	1	0	6	581
1	1	1	0	0	0	0	1	0	1	1	1	7	582
1	1	0	0	1	1	0	1	0	0	0	0	6	583
1	1	1	0	0	0	0	0	1	1	0	0	7	585
0	1	0	0	1	1	0	1	1	0	1	1	2	586
1	0	0	1	0	0	0	1	0	1	1	1	4	587
0	1	0	0	1	0	1	0	0	1	1	0	2	588
0	1	1	1	0	0	0	0	1	1	1	0	3	589
0	1	1	0	1	1	0	0	0	0	0	0	3	590
1	0	1	0	1	1	1	0	1	1	0	1	5	591
0	1	0	0	1	1	1	0	1	1	1	1	2	592
0	0	1	0	1	1	0	0	0	0	0	1	1	594
0	0	1	1	1	0	1	1	1	0	0	1	1	595
1	0	0	1	1	1	0	1	1	1	0	1	4	596
1	1	0	0	0	1	0	0	1	0	1	0	6	597
0	0	0	1	1	1	1	0	1	1	1	1	0	598
0	1	0	1	0	1	0	1	0	0	0	1	2	599
0	0	0	0	1	0	0	0	0	1	1	0	0	600
0	1	0	0	0	1	1	0	0	0	0	1	2	601
1	0	1	0	0	1	1	0	0	1	1	0	5	602
1	0	0	0	1	0	0	0	1	0	1	0	4	603
0	1	1	0	0	1	0	0	1	1	1	0	3	604
0	1	1	1	1	0	1	1	1	0	0	1	3	605
0	0	1	1	0	0	1	0	0	0	1	0	1	606
1	1	0	1	1	0	1	0	1	1	1	1	6	607
0	0	1	0	1	0	0	0	1	1	0	1	1	608
0	1	0	1	0	1	1	0	0	1	0	1	2	609
0	1	0	0	1	0	0	1	1	0	0	0	2	610
0	0	0	0	0	1	0	1	1	0	1	0	0	611
0	1	0	1	0	1	1	0	1	1	1	1	2	612
1	0	0	1	0	1	0	0	1	1	0	0	4	613
1	1	0	1	1	1	0	0	0	1	1	1	6	614
0	1	0	1	0	1	1	1	1	1	1	1	2	615
0	0	0	0	0	1	1	1	1	1	1	0	0	616
1	0	1	0	0	0	0	0	1	0	1	1	5	617
1	1	0	0	0	0	1	1	1	1	1	1	6	618
1	1	0	0	1	0	1	1	0	0	0	0	6	619
0	1	0	0	1	1	0	0	1	0	0	1	2	620
0	0	1	0	0	1	1	0	1	1	0	0	1	621
0	0	1	1	1	1	1	1	1	1	0	1	1	622
0	1	0	0	1	1	0	1	0	1	0	1	2	623
1	1	0	0	0	1	0	0	1	0	0	0	6	624
0	0	1	0	1	1	1	1	1	0	0	1	1	625
1	1	0	1	0	1	1	1	1	0	1	0	6	626
0	0	0	0	1	0	1	1	0	0	0	0	0	627
1	1	1	1	1	0	0	0	1	0	1	1	7	628
0	1	1	1	1	1	1	1	1	1	1	1	3	629
1	0	1	0	1	0	1	0	1	1	1	1	5	630
1	0	0	1	0	0	0	0	1	0	1	0	4	631
0	1	0	0	0	0	1	1	0	0	1	0	2	632
1	1	1	1	1	0	1	0	0	0	1	1	7	633
1	1	0	0	0	0	0	1	1	1	1	1	6	634
1	1	0	1	0	1	0	0	1	0	0	0	6	636
1	0	0	0	0	0	1	1	1	1	0	1	4	637
0	1	1	0	1	0	1	1	1	0	0	1	3	638
0	0	0	1	1	0	0	0	0	1	0	1	0	639
1	0	0	1	0	0	1	1	0	0	0	1	4	640
1	1	0	0	1	0	0	1	1	0	1	0	6	642
0	0	1	0	1	1	1	0	0	0	1	1	1	644
0	0	1	0	0	1	0	1	1	1	1	0	1	645
1	1	1	0	0	0	0	1	1	0	0	0	7	646
0	0	1	0	0	1	1	1	0	1	0	0	1	647
0	1	0	0	0	1	0	0	0	0	0	1	2	648
1	1	0	0	1	1	1	1	1	0	1	0	6	649
1	1	1	1	1	1	1	0	1	0	0	0	7	650
1	1	1	0	1	0	0	1	0	1	0	0	7	651
0	0	1	0	1	0	1	1	0	0	0	1	1	652
1	1	0	0	0	0	1	0	1	1	1	1	6	653
0	0	1	0	0	0	0	0	0	1	0	0	1	654
0	0	0	0	1	1	1	0	1	0	1	0	0	655
1	0	0	0	0	0	1	0	0	1	0	0	4	656
1	1	1	1	1	1	0	0	0	1	1	1	7	657
0	1	0	0	0	1	0	1	1	0	0	1	2	658
1	0	1	1	1	1	1	1	1	0	0	1	5	659
1	0	0	0	1	1	0	1	0	0	1	1	4	660
1	0	1	0	1	1	1	0	1	0	0	1	5	661
0	1	0	1	0	0	1	0	1	1	1	0	2	662
1	0	0	1	0	1	0	0	0	1	1	0	4	663
0	1	1	1	0	1	0	1	1	0	1	0	3	665
0	0	1	0	0	0	0	1	0	1	0	0	1	666
1	0	0	0	1	1	1	0	1	0	0	0	4	667
0	0	1	0	0	1	0	1	0	0	1	0	1	668
1	0	1	0	0	0	1	0	0	0	0	0	5	669
1	0	0	0	0	0	1	1	1	0	0	1	4	670
1	1	1	0	1	1	0	0	1	1	0	0	7	671
1	1	1	1	1	1	1	0	1	1	1	1	7	672
0	0	0	0	0	1	1	0	1	0	0	0	0	673
1	0	1	0	0	0	1	1	0	1	0	0	5	676
0	1	1	0	0	0	1	0	1	1	1	1	3	677
0	1	0	1	0	1	1	0	0	1	1	1	2	678
0	0	0	1	1	0	1	0	0	1	1	1	0	679
1	1	1	0	1	1	0	0	0	1	0	0	7	680
0	0	1	1	0	1	1	1	0	1	0	0	1	681
1	1	1	1	1	0	0	0	1	1	1	1	7	682
1	1	1	0	1	0	0	0	1	0	0	0	7	683
0	0	1	1	0	0	0	0	0	1	1	0	1	684
1	0	0	1	1	0	0	1	0	0	0	1	4	685
1	1	0	1	1	0	1	1	1	0	1	0	6	686
0	1	0	1	0	1	1	0	1	0	1	1	2	687
0	0	1	0	0	0	1	0	1	1	1	0	1	689
0	1	0	1	1	1	0	0	1	1	0	1	2	690
0	1	0	1	0	0	0	1	1	1	1	0	2	691
1	0	1	1	0	1	0	1	1	1	1	1	5	692
1	0	1	0	1	0	1	0	0	0	1	0	5	694
0	1	0	1	1	1	1	1	0	1	0	1	2	695
0	0	0	0	0	0	0	0	1	0	0	0	0	696
0	1	0	0	0	1	0	0	0	0	1	1	2	697
1	0	1	1	0	0	1	0	0	1	0	0	5	698
1	0	0	1	1	0	0	1	1	1	0	1	4	699
1	1	1	1	1	1	0	0	0	0	0	0	7	700
0	1	0	0	0	1	0	0	1	0	0	1	2	701
0	0	1	0	1	1	1	0	0	0	1	1	1	702
0	0	0	1	1	1	1	0	0	0	1	1	0	703
1	0	0	1	1	1	1	0	1	1	0	0	4	704
0	0	0	1	0	0	1	1	0	0	0	1	0	705
1	1	0	1	1	0	1	1	1	1	1	1	6	706
1	1	1	0	0	0	1	0	0	0	1	1	7	708
0	0	1	0	1	0	1	1	0	1	0	1	1	709
1	0	1	1	1	0	0	1	1	1	1	1	5	710
0	0	1	1	1	1	1	1	0	0	0	1	1	711
1	0	0	1	1	0	0	0	1	0	0	0	4	712
0	1	0	1	0	1	0	0	0	0	0	1	2	713
1	0	0	0	1	0	1	0	0	1	0	0	4	714
0	0	0	0	0	0	1	1	0	0	0	0	0	715
1	0	0	1	0	1	1	0	1	1	1	0	4	716
1	0	1	0	0	0	0	0	1	1	0	1	5	717
1	0	0	0	1	1	0	1	0	0	0	1	4	718
1	0	1	0	1	1	0	1	1	1	0	1	5	719
1	0	1	1	0	0	1	1	1	0	1	1	5	721
1	0	0	0	0	1	0	1	1	1	1	1	4	722
1	1	1	1	1	0	1	1	0	1	0	0	7	723
1	0	1	0	0	0	1	1	0	1	1	0	5	724
1	0	1	0	0	1	0	0	0	0	1	0	5	725
1	1	0	1	1	0	0	0	1	1	1	1	6	726
0	1	0	1	0	1	0	1	0	0	0	1	2	727
1	0	0	0	0	0	1	1	1	1	1	1	4	728
0	0	1	1	1	1	0	1	1	0	0	1	1	729
1	1	1	1	0	0	1	0	0	1	0	0	7	730
0	0	1	0	1	1	1	1	1	0	0	1	1	731
1	0	0	0	1	0	1	1	1	0	1	1	4	732
0	1	1	1	1	0	1	0	1	1	1	1	3	733
1	0	1	0	0	0	0	1	1	0	1	1	5	734
0	1	1	0	1	0	1	1	1	1	1	1	3	735
1	1	0	1	1	0	0	1	0	1	1	1	6	736
0	1	1	1	1	1	1	0	1	1	0	1	3	737
0	0	1	0	0	1	1	0	0	1	0	0	1	738
0	0	1	0	0	0	1	0	1	0	0	0	1	739
0	0	1	0	0	0	1	0	0	1	0	0	1	740
0	1	1	0	1	0	0	1	0	1	0	0	3	741
0	0	1	0	1	0	0	0	1	0	1	1	1	742
0	0	1	1	1	1	1	1	1	1	1	1	1	745
0	0	0	0	1	0	0	1	1	0	1	0	0	746
0	0	0	1	0	0	1	1	1	1	1	1	0	747
0	1	1	0	1	0	1	0	0	1	1	1	3	748
1	0	1	1	1	0	1	1	0	0	0	0	5	749
1	1	0	1	1	1	1	0	0	0	1	0	6	750
0	1	0	0	1	0	0	0	1	0	1	0	2	751
1	1	0	0	1	0	0	1	1	1	0	1	6	752
1	1	0	1	1	0	1	1	1	0	1	0	6	753
1	1	0	1	1	0	1	0	1	0	1	0	6	754
0	1	1	1	1	0	1	1	0	1	0	1	3	756
0	1	1	1	1	0	1	0	0	0	1	1	3	757
0	1	1	0	1	0	1	0	0	0	0	1	3	758
1	0	1	0	0	0	0	1	1	1	1	1	5	759
0	0	0	0	1	1	1	0	0	0	1	0	0	760
0	0	1	0	1	0	1	0	1	0	1	1	1	761
0	0	1	1	0	0	0	1	1	1	1	0	1	762
1	0	0	0	1	0	0	1	0	0	0	1	4	763
1	1	1	0	0	0	1	0	1	0	1	1	7	764
0	1	0	1	1	0	1	0	0	1	0	0	2	765
1	0	1	1	0	1	0	1	0	1	1	0	5	766
1	1	1	1	1	1	0	0	0	1	0	0	7	767
1	1	0	0	1	1	0	0	1	1	0	1	6	768
0	1	1	1	1	1	0	0	0	0	1	0	3	771
1	0	0	1	1	0	0	1	0	1	1	1	4	772
0	1	1	0	1	1	1	0	0	0	1	1	3	773
0	0	1	0	0	0	0	1	0	0	1	0	1	774
0	1	1	0	0	1	0	1	1	1	1	0	3	775
0	0	0	0	1	0	1	0	0	0	1	0	0	776
0	0	1	0	1	1	1	0	0	0	0	1	1	777
1	1	1	1	1	1	0	0	0	0	0	0	7	778
0	0	0	1	0	1	1	0	1	0	0	1	0	779
1	1	0	0	1	1	0	0	0	1	1	1	6	780
0	1	1	0	0	1	0	0	1	1	0	0	3	781
1	1	1	0	0	1	1	1	1	0	0	0	7	782
1	1	1	0	0	1	1	0	1	0	0	0	7	783
0	1	1	0	0	1	0	0	1	1	0	0	3	784
0	0	1	0	0	0	0	1	0	0	0	0	1	785
0	1	1	1	1	1	0	1	1	1	0	0	3	786
1	0	0	0	0	1	1	0	0	1	1	0	4	787
0	0	1	0	0	0	1	0	0	1	0	0	1	788
1	1	1	1	0	1	1	0	1	0	0	0	7	789
1	1	1	1	0	0	1	1	0	0	1	1	7	790
0	0	0	1	0	0	1	0	1	0	0	1	0	791
0	0	1	1	0	0	0	1	0	1	0	0	1	792
1	1	1	0	0	1	1	0	1	1	0	0	7	793
0	1	1	0	1	1	0	1	0	1	1	0	3	794
0	0	0	1	0	1	0	1	0	0	1	1	0	795
1	1	1	0	1	0	0	1	0	1	0	0	7	796
0	0	1	0	1	0	0	0	1	0	1	1	1	800
1	1	1	0	0	0	1	1	1	1	1	1	7	801
0	1	0	0	0	1	1	0	0	0	0	1	2	802
0	1	1	1	1	0	0	1	0	0	0	0	3	803
1	1	1	0	1	0	1	1	1	1	0	0	7	804
0	0	0	0	0	0	1	1	0	0	0	0	0	805
0	1	1	0	0	0	0	1	0	1	0	0	3	806
1	0	0	1	0	1	1	1	0	1	0	1	4	807
0	1	1	0	0	1	1	0	0	0	0	1	3	808
0	0	0	0	1	0	0	1	0	0	1	0	0	809
1	0	1	1	0	1	1	0	0	1	1	0	5	810
1	0	1	1	1	0	1	0	0	0	0	0	5	811
1	1	0	0	0	0	0	0	1	1	0	1	6	812
1	1	0	0	0	0	0	0	0	1	1	1	6	813
0	0	1	0	0	0	0	1	1	1	1	0	1	814
1	1	0	0	1	1	0	1	1	0	0	0	6	815
0	0	0	1	0	0	1	1	0	1	1	1	0	816
0	1	0	1	1	0	0	0	0	1	1	0	2	817
1	1	0	1	1	1	0	1	1	1	0	1	6	818
1	0	0	1	1	1	1	1	1	0	1	1	4	819
0	1	1	0	1	1	1	0	1	0	1	1	3	820
1	1	1	1	0	1	0	1	0	1	1	1	7	821
1	0	1	0	1	1	1	0	1	1	1	1	5	822
0	1	1	1	1	0	0	1	0	1	1	0	3	823
0	0	1	0	0	1	0	1	1	0	1	0	1	824
1	0	1	1	1	1	0	1	1	1	0	1	5	825
1	1	1	0	1	1	0	1	1	1	0	0	7	826
1	1	0	0	1	1	1	0	0	1	0	1	6	827
1	0	1	0	0	1	0	0	1	1	1	1	5	828
0	0	1	1	0	1	1	1	0	1	1	0	1	829
0	1	0	0	0	0	1	0	0	0	1	0	2	830
0	0	0	0	0	0	0	1	1	0	0	0	0	831
1	0	0	1	1	1	0	0	1	1	1	0	4	833
0	1	1	1	1	0	0	0	0	1	0	0	3	834
1	0	1	0	0	1	0	0	1	1	0	1	5	835
0	0	1	0	1	1	0	0	0	1	1	1	1	836
1	0	1	0	0	0	1	0	1	0	1	1	5	837
0	0	1	0	0	1	0	1	0	1	0	0	1	838
0	0	1	1	0	1	0	0	0	0	1	0	1	839
1	0	0	0	1	1	1	0	0	1	1	0	4	840
1	1	0	1	0	0	0	0	1	1	1	1	6	841
1	0	1	1	0	1	1	0	1	0	1	1	5	842
0	1	1	1	1	0	1	1	0	1	0	1	3	843
1	0	1	0	1	1	0	0	0	0	1	0	5	844
0	1	0	1	0	0	0	0	1	0	1	0	2	845
1	0	0	0	1	0	0	0	0	0	1	0	4	846
0	1	1	0	0	1	1	0	1	1	0	1	3	847
0	0	0	1	0	0	1	0	0	0	1	1	0	848
1	1	1	1	1	0	1	1	0	0	0	0	7	849
0	0	1	1	1	0	1	0	1	1	1	1	1	850
1	1	1	1	0	1	0	0	0	1	1	1	7	851
0	1	1	1	0	1	1	0	0	1	0	1	3	852
0	1	1	1	1	0	0	1	0	1	1	0	3	853
1	0	0	1	0	0	0	1	0	1	0	1	4	855
0	0	0	1	1	0	1	1	1	0	1	1	0	856
1	0	1	0	1	1	1	1	0	0	1	0	5	857
1	0	0	1	0	1	0	1	1	0	1	1	4	858
0	0	0	1	1	0	0	1	0	0	0	1	0	860
0	0	0	1	0	1	0	1	0	1	1	1	0	861
1	0	1	0	1	1	0	1	0	0	0	0	5	862
0	0	0	0	1	0	0	0	1	0	1	0	0	863
1	0	0	0	1	1	1	1	1	1	0	1	4	864
1	0	0	0	1	1	1	0	1	1	1	0	4	865
0	0	0	1	1	1	0	1	1	0	0	1	0	866
0	1	0	1	1	1	0	1	1	0	1	1	2	867
1	0	1	0	0	1	1	1	0	0	0	0	5	869
1	0	0	1	1	1	0	0	1	1	1	0	4	870
0	0	0	1	1	0	0	0	1	0	1	1	0	871
0	1	1	0	1	0	1	0	0	1	1	1	3	872
0	1	1	1	0	0	1	0	1	0	1	1	3	873
0	1	1	1	1	1	0	1	0	0	0	0	3	874
1	0	1	1	0	0	1	1	0	0	1	0	5	875
1	1	1	1	0	1	0	1	1	1	1	1	7	876
0	0	0	1	0	0	0	1	1	1	1	1	0	877
0	1	0	0	0	1	1	1	1	0	1	1	2	878
0	1	0	1	1	1	0	1	0	0	0	1	2	879
0	0	1	1	0	0	0	0	0	1	1	0	1	880
1	1	1	1	0	0	0	0	0	1	0	0	7	881
1	0	0	1	0	0	1	0	0	0	1	0	4	882
1	0	0	1	0	0	1	0	0	0	0	0	4	883
0	0	0	0	0	0	0	1	0	0	1	0	0	884
0	1	1	0	1	1	0	1	1	1	0	0	3	885
1	1	1	1	1	0	0	1	1	1	0	0	7	886
1	1	1	0	1	1	0	1	0	1	0	0	7	888
1	1	1	1	1	1	1	0	1	0	0	0	7	889
1	0	0	1	0	1	0	1	0	1	1	1	4	890
0	1	1	1	1	1	0	1	0	0	1	0	3	891
1	0	1	1	1	1	0	0	0	0	1	0	5	892
1	0	1	1	1	1	1	0	0	0	0	0	5	893
1	1	1	0	0	0	1	0	0	1	1	1	7	894
0	0	0	0	0	1	1	1	0	0	0	0	0	895
0	1	0	1	1	1	0	1	1	1	0	1	2	896
1	1	0	0	1	1	0	0	1	1	0	1	6	898
0	1	0	1	1	1	1	1	0	1	1	1	2	900
0	0	1	0	0	0	1	1	1	1	0	0	1	901
1	0	0	0	1	0	1	0	0	0	1	0	4	902
1	1	0	0	0	1	1	1	1	0	1	0	6	903
0	1	1	0	1	0	1	0	0	1	0	1	3	904
1	1	1	0	1	1	0	1	1	0	0	0	7	905
1	0	0	0	0	1	0	1	1	0	1	1	4	907
0	1	1	0	0	0	1	1	1	1	1	1	3	908
1	1	0	0	1	1	0	0	0	1	1	1	6	909
0	1	1	0	1	0	1	0	1	0	0	1	3	910
1	0	0	0	0	0	0	0	0	1	0	0	4	911
1	0	1	0	1	0	0	1	0	0	1	0	5	912
0	1	0	1	1	1	1	1	1	0	0	1	2	913
0	1	0	1	0	0	0	1	1	1	1	0	2	914
1	1	0	0	0	1	0	0	1	1	0	1	6	915
1	1	1	0	0	1	0	0	0	1	0	0	7	916
0	0	1	0	1	0	0	1	0	1	1	1	1	917
1	0	0	0	0	1	0	1	0	0	1	1	4	918
1	1	0	1	1	1	1	1	1	1	1	1	6	919
0	1	1	0	0	0	1	0	1	1	1	1	3	920
0	1	0	0	0	1	0	0	1	0	0	1	2	921
0	1	0	1	0	0	1	1	1	0	1	0	2	922
1	0	0	0	1	0	0	1	0	0	1	1	4	923
1	0	0	0	0	1	1	0	1	0	0	0	4	924
1	1	0	0	0	0	1	0	1	0	0	0	6	925
1	1	0	1	1	0	0	0	1	1	1	1	6	926
0	1	1	1	1	0	0	0	1	1	1	0	3	927
0	1	0	0	0	0	1	0	0	0	1	0	2	928
0	1	0	1	0	0	1	0	0	0	0	0	2	929
0	1	1	1	1	0	1	1	1	1	0	1	3	930
0	0	0	1	0	0	1	0	0	0	0	1	0	931
0	0	0	0	1	1	1	0	1	0	1	0	0	932
1	1	1	1	0	1	1	0	1	0	1	1	7	933
0	0	0	1	1	1	0	0	0	1	0	1	0	934
1	1	0	1	1	1	1	0	0	0	0	0	6	935
0	0	1	0	1	0	1	0	0	1	1	1	1	936
0	0	1	1	0	0	0	1	0	1	1	0	1	937
0	1	1	0	0	0	1	0	1	1	0	1	3	938
0	0	0	0	1	1	1	0	0	1	1	0	0	939
1	0	0	0	1	1	0	1	0	0	1	1	4	940
0	0	0	0	1	0	1	1	0	1	1	0	0	941
1	0	1	1	0	1	0	0	1	1	1	1	5	943
1	1	0	0	1	1	0	0	1	1	1	1	6	944
1	1	0	1	1	0	0	1	1	1	1	1	6	945
1	0	1	1	1	1	1	1	1	1	1	1	5	946
0	0	0	0	1	0	0	0	0	1	0	0	0	947
0	1	0	1	0	0	0	1	0	0	0	0	2	948
0	0	1	1	0	0	1	0	0	0	0	0	1	949
1	0	1	1	0	1	1	0	1	0	0	1	5	950
1	0	1	1	0	0	0	0	0	0	1	0	5	951
1	1	1	1	0	0	0	0	0	0	1	1	7	952
0	1	0	1	1	0	1	1	0	0	0	0	2	953
0	1	1	0	1	1	1	1	0	1	1	1	3	954
0	1	1	1	0	1	1	1	1	1	0	1	3	955
0	1	1	0	1	1	1	1	0	1	1	1	3	956
1	1	1	1	1	1	0	0	0	1	0	0	7	958
1	1	1	0	1	0	0	0	0	0	0	0	7	959
1	1	1	1	0	0	1	1	0	1	0	0	7	960
1	0	1	1	0	1	1	0	0	1	1	0	5	961
0	0	1	1	0	0	0	1	0	1	1	0	1	962
0	0	1	0	1	1	0	1	1	1	1	1	1	963
1	0	1	0	0	0	1	0	0	1	1	0	5	964
0	0	0	0	0	1	1	1	0	0	1	0	0	965
0	0	0	1	1	0	0	1	1	0	0	1	0	966
0	1	0	0	0	0	0	0	1	1	1	0	2	967
1	1	0	1	1	1	0	0	1	1	0	1	6	968
1	1	1	1	1	1	1	0	1	1	1	1	7	969
1	0	1	0	0	0	1	1	0	1	1	0	5	970
0	0	1	0	1	0	1	0	0	0	0	1	1	971
1	0	1	0	1	1	0	1	0	0	1	0	5	972
0	0	0	1	0	0	0	1	0	1	0	1	0	973
0	0	1	1	0	1	0	0	1	1	1	0	1	974
1	1	1	1	1	0	0	0	1	1	0	0	7	975
0	0	0	0	1	0	1	0	0	0	0	0	0	976
0	1	1	1	0	1	0	1	0	0	1	0	3	977
0	0	1	1	0	1	1	1	0	1	0	0	1	980
0	0	0	0	0	1	1	0	1	0	0	0	0	981
1	1	0	1	1	1	0	1	0	1	0	1	6	982
0	1	1	0	0	1	0	1	1	0	0	0	3	983
0	1	1	1	1	0	0	0	1	1	1	0	3	984
0	1	1	1	0	0	0	0	1	0	1	0	3	985
1	0	1	1	1	0	1	1	1	1	1	1	5	986
0	0	0	1	1	1	1	1	0	1	0	1	0	987
1	1	0	0	0	0	1	1	1	0	0	0	6	988
1	0	1	1	1	1	0	0	1	1	1	1	5	989
0	1	1	1	1	0	1	0	0	1	0	1	3	990
0	1	0	0	0	1	1	1	1	1	0	1	2	991
1	0	1	1	1	1	1	0	0	1	0	0	5	992
0	0	1	0	1	1	1	1	1	1	0	1	1	993
0	0	1	1	0	0	1	0	0	1	1	0	1	994
0	0	0	0	0	0	1	0	1	1	0	0	0	996
1	1	1	1	0	0	1	0	0	0	0	0	7	997
1	0	0	0	1	1	0	0	1	1	1	0	4	998
1	1	0	0	1	1	1	0	0	0	0	0	6	999
1	0	1	0	1	1	0	0	1	0	1	1	5	1000
1	0	0	0	0	0	1	1	0	0	0	1	4	1001
0	0	1	1	1	1	0	1	0	1	0	1	1	1002
0	1	1	0	0	0	1	0	0	1	0	1	3	1003
0	1	0	1	0	0	0	0	0	1	1	0	2	1006
0	1	0	1	1	1	1	1	1	1	0	1	2	1008
1	0	0	1	0	1	0	1	0	0	0	1	4	1009
1	1	1	0	0	1	1	1	1	1	1	1	7	1010
1	0	1	0	0	1	0	1	0	1	1	0	5	1011
1	0	0	0	1	0	0	0	0	0	0	0	4	1012
1	0	1	1	1	0	0	1	0	1	1	0	5	1013
1	0	1	1	0	0	0	1	0	0	0	0	5	1014
1	1	1	0	0	0	0	0	0	1	1	1	7	1015
0	1	0	1	1	1	0	0	0	0	0	1	2	1016
0	1	0	0	0	0	1	0	0	0	1	0	2	1017
0	0	1	0	1	1	0	0	0	0	0	1	1	1018
1	0	1	1	0	0	0	1	0	1	0	0	5	1019
1	1	0	0	0	1	1	1	1	1	0	1	6	1021
0	0	0	0	1	1	0	1	1	0	1	0	0	1023
1	0	1	0	1	1	0	1	1	0	1	1	5	1024
1	1	1	1	1	0	1	0	1	0	0	0	7	1025
0	0	1	0	1	1	1	1	0	0	0	1	1	1027
1	1	1	0	1	1	1	1	0	1	1	1	7	1028
0	0	0	0	0	1	0	1	0	1	0	0	0	1029
1	0	1	0	1	1	0	0	1	0	0	1	5	1030
0	0	1	1	0	0	1	1	0	1	0	0	1	1031
0	0	0	1	0	0	0	0	0	1	0	1	0	1032
0	0	0	0	1	0	1	0	1	1	1	0	0	1033
1	1	0	1	0	0	0	1	0	0	1	0	6	1034
1	1	1	1	1	1	0	1	0	1	0	0	7	1035
1	0	1	0	0	0	0	1	1	0	0	1	5	1036
1	0	1	1	0	1	0	1	1	0	0	1	5	1037
1	0	1	0	0	1	0	1	0	0	1	0	5	1038
1	1	1	1	0	0	1	1	1	0	1	1	7	1039
1	0	0	1	1	1	0	1	1	1	0	1	4	1040
1	0	1	0	0	1	1	0	1	1	1	1	5	1041
1	1	0	0	0	0	0	0	0	0	1	0	6	1043
1	0	1	1	0	0	0	1	0	0	0	0	5	1044
1	0	1	0	1	1	0	0	0	1	0	0	5	1045
0	0	0	1	0	1	1	1	1	0	1	1	0	1046
0	0	0	0	0	0	0	0	1	1	1	0	0	1047
1	0	1	0	1	1	1	1	0	1	0	0	5	1049
0	1	0	1	0	0	1	1	1	0	1	0	2	1050
0	1	1	0	0	1	0	1	1	0	1	0	3	1051
1	0	1	0	0	1	0	1	0	0	0	0	5	1052
1	0	0	0	1	0	1	1	1	0	1	1	4	1054
0	0	0	1	0	1	1	0	1	0	0	1	0	1055
0	1	0	1	1	1	0	1	0	1	0	1	2	1056
1	0	0	0	1	1	1	0	0	1	1	0	4	1057
0	1	0	0	1	0	1	1	0	1	1	0	2	1059
1	0	1	1	1	1	1	0	1	0	0	1	5	1060
0	1	1	1	1	0	0	0	1	0	1	0	3	1061
1	0	0	1	0	1	1	1	0	0	0	1	4	1062
1	1	0	1	1	0	1	1	0	1	1	1	6	1063
0	0	1	0	1	0	0	1	0	0	0	1	1	1064
1	1	0	1	0	1	0	1	0	0	1	0	6	1065
1	0	1	1	1	1	1	0	0	1	0	0	5	1067
0	0	1	1	0	0	1	1	0	0	0	0	1	1068
0	1	1	1	0	1	1	1	1	1	1	1	3	1069
0	0	1	0	0	1	0	1	0	1	1	0	1	1070
1	1	1	1	1	1	1	1	0	1	0	0	7	1071
1	1	0	0	0	0	1	1	1	1	1	1	6	1072
1	0	1	1	1	1	0	1	1	1	0	1	5	1073
1	1	1	1	1	0	1	0	1	1	1	1	7	1074
1	0	1	0	0	1	1	1	1	1	1	1	5	1075
0	1	1	0	1	0	1	0	1	1	0	1	3	1076
1	0	1	0	1	0	1	0	0	0	0	0	5	1078
0	0	1	1	0	1	0	0	1	1	0	0	1	1079
1	1	0	1	1	1	1	0	0	1	0	1	6	1080
0	1	1	1	1	0	1	1	1	0	0	1	3	1081
1	1	0	0	0	0	0	0	1	1	0	1	6	1082
0	1	1	1	0	0	0	1	1	0	0	0	3	1083
0	1	0	0	1	1	1	1	1	1	1	1	2	1087
0	1	0	0	1	1	0	0	0	0	0	1	2	1089
1	0	0	1	0	1	1	1	1	0	0	1	4	1090
1	1	1	0	0	1	0	1	0	1	1	1	7	1091
0	1	0	1	0	0	1	0	0	1	0	0	2	1093
1	0	0	1	0	0	1	0	0	0	1	0	4	1095
