A_0	A_1	A_2	A_3	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	R_8	R_9	R_10	R_11	R_12	R_13	R_14	R_15	Class	Group	InstanceID
0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	2021
1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	14	2022
0	0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	3	2024
0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	2025
0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	2	2026
1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	12	2027
0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	2028
1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	9	2029
0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	5	2031
0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	6	2032
0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	0	2033
0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	1	1	4	2034
0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	2035
1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	15	2036
0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6	2037
1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	14	2038
1	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	10	2039
0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	5	2040
1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	9	2041
0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	2042
1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	13	2043
1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	8	2044
1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	10	2045
1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	8	2046
0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	6	2047
1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	14	2048
0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	4	2049
0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	4	2050
0	0	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	3	2051
0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	2	2052
0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	2	2053
0	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	4	2054
1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	8	2055
1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	8	2056
1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	8	2057
1	1	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	14	2059
0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	2060
0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	3	2061
1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	14	2062
0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	2	2063
0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	7	2064
0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	3	2065
0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	7	2066
0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	2067
0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	2068
0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	7	2069
1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	10	2070
0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	2071
0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	2072
1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	10	2073
0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	2	2074
1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	12	2075
0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	2076
1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	11	2077
1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	15	2078
1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	8	2079
1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	14	2080
1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	10	2081
1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	14	2082
0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	3	2083
1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	9	2085
1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	12	2086
1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	9	2087
1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	11	2088
1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	14	2090
1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	14	2091
1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	13	2092
0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	7	2094
1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	10	2095
0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	5	2097
1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	13	2098
0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	2099
0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	7	2100
1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	8	2101
1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	13	2102
1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	14	2105
1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	8	2106
1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	9	2107
0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	5	2108
1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	15	2109
1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	8	2110
1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	12	2111
1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	12	2112
0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	2	2113
1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	10	2114
0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	2115
0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	1	2117
0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	6	2118
0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	6	2119
0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	3	2120
0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	2121
0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	7	2122
1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	8	2123
1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	14	2124
1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	10	2126
0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	6	2127
0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	2	2129
0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	4	2130
1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	10	2131
1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	14	2132
0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	5	2133
0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	4	2134
1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	12	2135
0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	2136
1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	12	2137
1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	15	2138
0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	2	2139
0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	3	2140
1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	12	2141
1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	10	2142
1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	12	2143
1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	8	2144
0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	2	2145
0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	2146
1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	11	2149
1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	10	2150
1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	12	2152
1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	15	2153
0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	2154
1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	9	2155
1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	12	2156
0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	4	2157
1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1	15	2158
1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	12	2159
1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	8	2161
0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	4	2162
0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	2163
1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	8	2164
0	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	4	2165
0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	7	2166
1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	12	2167
1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	14	2168
0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	4	2169
0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	5	2170
1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	12	2172
1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	12	2173
0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	2174
1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	11	2176
0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	5	2177
0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	7	2178
1	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	11	2179
1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	15	2180
1	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	15	2181
0	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	5	2182
0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	7	2183
0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	4	2184
0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	2	2185
0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	6	2186
1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	9	2187
1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	9	2188
0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	6	2190
1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	1	1	12	2191
1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	12	2192
0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	2	2193
0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	1	1	3	2194
0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	7	2195
0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	5	2196
0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	2197
0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	7	2198
1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	12	2199
1	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	14	2200
1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	0	1	0	14	2201
1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	8	2202
0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	5	2203
0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	2204
0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	6	2205
0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	4	2206
1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	8	2207
1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	9	2208
0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	2209
0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	6	2210
0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	6	2211
0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	2212
1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	10	2213
1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	10	2215
0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	2216
1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	12	2217
1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	10	2218
0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	2	2219
1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	15	2220
0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	5	2221
1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	11	2222
1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	11	2223
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	4	2224
1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	8	2225
0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	6	2226
1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	10	2227
1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	10	2228
0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	7	2229
0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	2	2230
1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	11	2232
1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	13	2233
0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	7	2235
1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	8	2236
1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	12	2237
1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	8	2238
1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	15	2239
1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	12	2240
1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	12	2241
0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	2242
1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	13	2243
1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	10	2245
1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	9	2246
1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	14	2247
0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	5	2248
0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	7	2250
0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	6	2251
1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	8	2252
1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	15	2253
1	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	10	2255
0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	3	2257
0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	2258
1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	8	2260
0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	2261
0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	5	2262
1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	8	2263
0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	2	2264
0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	4	2266
0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	2267
0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	3	2268
0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	2269
0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	2270
0	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	5	2271
0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	6	2272
0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	5	2273
1	0	1	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	10	2274
1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	12	2275
0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	2	2276
1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	9	2277
0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	4	2278
0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	2279
0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	6	2281
0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	2283
1	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	9	2284
0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	4	2286
0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	2287
0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	5	2288
1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	9	2289
0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	5	2291
0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	4	2292
0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	2293
0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	2	2294
1	0	0	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	9	2295
1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	15	2296
1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	15	2299
1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	15	2300
1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	8	2301
1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	13	2302
0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	2303
0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	2304
1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	12	2305
1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	13	2306
1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	15	2307
0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	5	2308
1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	14	2311
0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	2312
1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	12	2313
1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	9	2314
0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	4	2315
1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	11	2316
0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	6	2317
0	1	0	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	5	2318
1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	9	2320
0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	2321
1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	13	2323
0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	2	2324
1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	9	2325
0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	5	2326
0	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	5	2327
1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	14	2328
0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	2329
0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	4	2331
0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	7	2332
1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	15	2333
1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	8	2334
1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	15	2335
0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	0	1	6	2336
1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	14	2337
1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	12	2338
1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	13	2339
0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	5	2340
0	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	7	2341
1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	13	2342
0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	7	2343
0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	2344
1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	15	2345
0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	2346
0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	7	2347
1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	10	2348
0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	3	2349
1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	12	2350
1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	12	2351
0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	2	2352
1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	14	2353
1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	8	2354
